ID,Azul,Verde,Rojo
Asys_floracion(SC),0.027,0.032,0.058
Asys_floracion(SC),0.019,0.021,0.034
Asys_floracion(SC),0.031,0.034,0.052
Asys_floracion(SC),0.024,0.028,0.045
Asys_floracion(SC),0.016,0.018,0.028
Asys_floracion(SC),0.018,0.021,0.033
Asys_floracion(SC),0.016,0.018,0.03
Asys_floracion(SC),0.015,0.018,0.036
Asys_floracion(SC),0.028,0.032,0.057
Asys_floracion(SC),0.036,0.04,0.059
Asys_floracion(SC),0.026,0.03,0.048
Asys_floracion(SC),0.028,0.033,0.057
Asys_floracion(SC),0.035,0.04,0.074
Asys_floracion(SC),0.024,0.027,0.045
Asys_floracion(SC),0.025,0.028,0.046
Asys_floracion(SC),0.025,0.028,0.048
Asys_floracion(SC),0.021,0.024,0.041
Asys_floracion(SC),0.024,0.027,0.045
Asys_floracion(SC),0.02,0.022,0.037
Asys_floracion(SC),0.02,0.023,0.038
Asys_floracion(SC),0.027,0.032,0.057
Asys_floracion(SC),0.019,0.021,0.034
Asys_floracion(SC),0.031,0.034,0.052
Asys_floracion(SC),0.025,0.028,0.045
Asys_floracion(SC),0.016,0.018,0.028
Asys_floracion(SC),0.018,0.021,0.033
Asys_floracion(SC),0.016,0.018,0.03
Asys_floracion(SC),0.016,0.019,0.035
Asys_floracion(SC),0.028,0.033,0.057
Asys_floracion(SC),0.037,0.04,0.059
Asys_floracion(SC),0.026,0.03,0.048
Asys_floracion(SC),0.028,0.033,0.056
Asys_floracion(SC),0.035,0.041,0.074
Asys_floracion(SC),0.024,0.027,0.045
Asys_floracion(SC),0.025,0.028,0.045
Asys_floracion(SC),0.025,0.028,0.048
Asys_floracion(SC),0.021,0.024,0.04
Asys_floracion(SC),0.025,0.028,0.045
Asys_floracion(SC),0.02,0.023,0.037
Asys_floracion(SC),0.02,0.023,0.037
Asys_floracion(SC),0.027,0.033,0.057
Asys_floracion(SC),0.019,0.022,0.034
Asys_floracion(SC),0.031,0.035,0.051
Asys_floracion(SC),0.025,0.028,0.044
Asys_floracion(SC),0.016,0.018,0.028
Asys_floracion(SC),0.018,0.021,0.032
Asys_floracion(SC),0.016,0.018,0.029
Asys_floracion(SC),0.016,0.019,0.035
Asys_floracion(SC),0.028,0.033,0.057
Asys_floracion(SC),0.037,0.041,0.059
Asys_floracion(SC),0.026,0.031,0.048
Asys_floracion(SC),0.028,0.034,0.056
Asys_floracion(SC),0.035,0.042,0.073
Asys_floracion(SC),0.024,0.028,0.044
Asys_floracion(SC),0.025,0.028,0.045
Asys_floracion(SC),0.025,0.029,0.047
Asys_floracion(SC),0.021,0.025,0.04
Asys_floracion(SC),0.025,0.028,0.044
Asys_floracion(SC),0.02,0.023,0.037
Asys_floracion(SC),0.02,0.023,0.037
Asys_floracion(SC),0.027,0.033,0.057
Asys_floracion(SC),0.019,0.022,0.034
Asys_floracion(SC),0.031,0.035,0.051
Asys_floracion(SC),0.025,0.029,0.044
Asys_floracion(SC),0.016,0.019,0.028
Asys_floracion(SC),0.018,0.022,0.032
Asys_floracion(SC),0.016,0.019,0.029
Asys_floracion(SC),0.016,0.02,0.035
Asys_floracion(SC),0.029,0.034,0.056
Asys_floracion(SC),0.037,0.041,0.058
Asys_floracion(SC),0.026,0.031,0.048
Asys_floracion(SC),0.028,0.034,0.056
Asys_floracion(SC),0.035,0.042,0.073
Asys_floracion(SC),0.024,0.028,0.044
Asys_floracion(SC),0.025,0.029,0.045
Asys_floracion(SC),0.025,0.029,0.047
Asys_floracion(SC),0.021,0.025,0.04
Asys_floracion(SC),0.025,0.029,0.044
Asys_floracion(SC),0.02,0.023,0.037
Asys_floracion(SC),0.02,0.024,0.037
Asys_floracion(SC),0.027,0.034,0.056
Asys_floracion(SC),0.019,0.022,0.033
Asys_floracion(SC),0.031,0.036,0.051
Asys_floracion(SC),0.025,0.029,0.044
Asys_floracion(SC),0.016,0.019,0.028
Asys_floracion(SC),0.018,0.022,0.032
Asys_floracion(SC),0.016,0.019,0.029
Asys_floracion(SC),0.016,0.02,0.035
Asys_floracion(SC),0.029,0.034,0.056
Asys_floracion(SC),0.037,0.042,0.058
Asys_floracion(SC),0.027,0.032,0.048
Asys_floracion(SC),0.029,0.035,0.056
Asys_floracion(SC),0.035,0.043,0.072
Asys_floracion(SC),0.024,0.029,0.044
Asys_floracion(SC),0.025,0.029,0.045
Asys_floracion(SC),0.025,0.03,0.047
Asys_floracion(SC),0.021,0.026,0.04
Asys_floracion(SC),0.025,0.029,0.044
Asys_floracion(SC),0.02,0.024,0.036
Asys_floracion(SC),0.02,0.024,0.037
Asys_floracion(SC),0.027,0.035,0.056
Asys_floracion(SC),0.019,0.023,0.033
Asys_floracion(SC),0.031,0.036,0.051
Asys_floracion(SC),0.025,0.03,0.044
Asys_floracion(SC),0.016,0.019,0.028
Asys_floracion(SC),0.018,0.022,0.032
Asys_floracion(SC),0.016,0.019,0.029
Asys_floracion(SC),0.016,0.021,0.035
Asys_floracion(SC),0.029,0.035,0.056
Asys_floracion(SC),0.037,0.042,0.058
Asys_floracion(SC),0.027,0.032,0.047
Asys_floracion(SC),0.029,0.036,0.055
Asys_floracion(SC),0.035,0.044,0.072
Asys_floracion(SC),0.024,0.03,0.044
Asys_floracion(SC),0.025,0.03,0.044
Asys_floracion(SC),0.025,0.031,0.047
Asys_floracion(SC),0.021,0.026,0.04
Asys_floracion(SC),0.025,0.03,0.044
Asys_floracion(SC),0.02,0.024,0.036
Asys_floracion(SC),0.02,0.025,0.036
Asys_floracion(SC),0.027,0.036,0.056
Asys_floracion(SC),0.019,0.024,0.033
Asys_floracion(SC),0.031,0.037,0.05
Asys_floracion(SC),0.025,0.03,0.044
Asys_floracion(SC),0.016,0.02,0.028
Asys_floracion(SC),0.018,0.023,0.032
Asys_floracion(SC),0.016,0.02,0.029
Asys_floracion(SC),0.016,0.021,0.034
Asys_floracion(SC),0.029,0.036,0.056
Asys_floracion(SC),0.037,0.043,0.058
Asys_floracion(SC),0.027,0.033,0.047
Asys_floracion(SC),0.029,0.037,0.055
Asys_floracion(SC),0.035,0.045,0.072
Asys_floracion(SC),0.024,0.03,0.044
Asys_floracion(SC),0.025,0.031,0.044
Asys_floracion(SC),0.025,0.031,0.047
Asys_floracion(SC),0.021,0.027,0.04
Asys_floracion(SC),0.025,0.03,0.044
Asys_floracion(SC),0.02,0.025,0.036
Asys_floracion(SC),0.02,0.025,0.036
Asys_floracion(SC),0.027,0.037,0.056
Asys_floracion(SC),0.019,0.024,0.033
Asys_floracion(SC),0.031,0.037,0.05
Asys_floracion(SC),0.025,0.031,0.044
Asys_floracion(SC),0.016,0.02,0.027
Asys_floracion(SC),0.018,0.023,0.032
Asys_floracion(SC),0.016,0.02,0.029
Asys_floracion(SC),0.016,0.022,0.034
Asys_floracion(SC),0.029,0.037,0.056
Asys_floracion(SC),0.037,0.044,0.058
Asys_floracion(SC),0.027,0.034,0.047
Asys_floracion(SC),0.029,0.038,0.055
Asys_floracion(SC),0.036,0.046,0.072
Asys_floracion(SC),0.024,0.031,0.044
Asys_floracion(SC),0.025,0.031,0.044
Asys_floracion(SC),0.025,0.032,0.046
Asys_floracion(SC),0.021,0.028,0.039
Asys_floracion(SC),0.025,0.031,0.043
Asys_floracion(SC),0.02,0.025,0.036
Asys_floracion(SC),0.02,0.026,0.036
Asys_floracion(SC),0.027,0.038,0.056
Asys_floracion(SC),0.019,0.025,0.033
Asys_floracion(SC),0.031,0.038,0.05
Asys_floracion(SC),0.025,0.032,0.044
Asys_floracion(SC),0.016,0.021,0.027
Asys_floracion(SC),0.018,0.024,0.032
Asys_floracion(SC),0.016,0.021,0.029
Asys_floracion(SC),0.016,0.023,0.034
Asys_floracion(SC),0.029,0.038,0.056
Asys_floracion(SC),0.037,0.044,0.058
Asys_floracion(SC),0.027,0.034,0.047
Asys_floracion(SC),0.029,0.039,0.055
Asys_floracion(SC),0.036,0.048,0.072
Asys_floracion(SC),0.024,0.032,0.043
Asys_floracion(SC),0.025,0.032,0.044
Asys_floracion(SC),0.025,0.033,0.046
Asys_floracion(SC),0.021,0.028,0.039
Asys_floracion(SC),0.025,0.032,0.043
Asys_floracion(SC),0.02,0.026,0.036
Asys_floracion(SC),0.02,0.026,0.036
Asys_floracion(SC),0.027,0.039,0.056
Asys_floracion(SC),0.019,0.026,0.033
Asys_floracion(SC),0.031,0.039,0.05
Asys_floracion(SC),0.025,0.033,0.043
Asys_floracion(SC),0.016,0.021,0.027
Asys_floracion(SC),0.018,0.025,0.032
Asys_floracion(SC),0.016,0.021,0.029
Asys_floracion(SC),0.016,0.023,0.034
Asys_floracion(SC),0.029,0.039,0.055
Asys_floracion(SC),0.037,0.045,0.058
Asys_floracion(SC),0.027,0.035,0.047
Asys_floracion(SC),0.029,0.04,0.055
Asys_floracion(SC),0.036,0.049,0.072
Asys_floracion(SC),0.024,0.033,0.043
Asys_floracion(SC),0.025,0.033,0.044
Asys_floracion(SC),0.025,0.034,0.046
Asys_floracion(SC),0.021,0.029,0.039
Asys_floracion(SC),0.025,0.033,0.043
Asys_floracion(SC),0.02,0.027,0.036
Asys_floracion(SC),0.02,0.027,0.036
Asys_floracion(SC),0.027,0.041,0.055
Asys_floracion(SC),0.019,0.026,0.033
Asys_floracion(SC),0.031,0.04,0.05
Asys_floracion(SC),0.025,0.034,0.043
Asys_floracion(SC),0.016,0.022,0.027
Asys_floracion(SC),0.018,0.025,0.032
Asys_floracion(SC),0.016,0.022,0.029
Asys_floracion(SC),0.016,0.024,0.034
Asys_floracion(SC),0.029,0.04,0.055
Asys_floracion(SC),0.037,0.046,0.057
Asys_floracion(SC),0.027,0.036,0.047
Asys_floracion(SC),0.029,0.041,0.055
Asys_floracion(SC),0.036,0.051,0.071
Asys_floracion(SC),0.024,0.034,0.043
Asys_floracion(SC),0.025,0.034,0.044
Asys_floracion(SC),0.025,0.035,0.046
Asys_floracion(SC),0.021,0.03,0.039
Asys_floracion(SC),0.025,0.034,0.043
Asys_floracion(SC),0.02,0.028,0.036
Asys_floracion(SC),0.02,0.028,0.036
Asys_floracion(SC),0.027,0.042,0.055
Asys_floracion(SC),0.019,0.027,0.033
Asys_floracion(SC),0.031,0.041,0.05
Asys_floracion(SC),0.025,0.035,0.043
Asys_floracion(SC),0.016,0.023,0.027
Asys_floracion(SC),0.018,0.026,0.031
Asys_floracion(SC),0.016,0.023,0.028
Asys_floracion(SC),0.016,0.025,0.034
Asys_floracion(SC),0.029,0.042,0.055
Asys_floracion(SC),0.037,0.048,0.057
Asys_floracion(SC),0.027,0.037,0.047
Asys_floracion(SC),0.029,0.043,0.055
Asys_floracion(SC),0.036,0.053,0.071
Asys_floracion(SC),0.024,0.035,0.043
Asys_floracion(SC),0.025,0.035,0.044
Asys_floracion(SC),0.025,0.036,0.046
Asys_floracion(SC),0.021,0.031,0.039
Asys_floracion(SC),0.025,0.035,0.043
Asys_floracion(SC),0.02,0.028,0.036
Asys_floracion(SC),0.02,0.029,0.036
Asys_floracion(SC),0.028,0.044,0.055
Asys_floracion(SC),0.019,0.028,0.032
Asys_floracion(SC),0.031,0.043,0.05
Asys_floracion(SC),0.025,0.036,0.043
Asys_floracion(SC),0.016,0.023,0.027
Asys_floracion(SC),0.018,0.027,0.031
Asys_floracion(SC),0.016,0.024,0.028
Asys_floracion(SC),0.016,0.027,0.034
Asys_floracion(SC),0.029,0.043,0.054
Asys_floracion(SC),0.037,0.049,0.057
Asys_floracion(SC),0.027,0.039,0.046
Asys_floracion(SC),0.029,0.044,0.054
Asys_floracion(SC),0.036,0.054,0.07
Asys_floracion(SC),0.024,0.036,0.043
Asys_floracion(SC),0.025,0.036,0.043
Asys_floracion(SC),0.025,0.037,0.046
Asys_floracion(SC),0.021,0.032,0.039
Asys_floracion(SC),0.025,0.036,0.043
Asys_floracion(SC),0.02,0.03,0.035
Asys_floracion(SC),0.02,0.03,0.036
Asys_floracion(SC),0.028,0.046,0.054
Asys_floracion(SC),0.019,0.029,0.032
Asys_floracion(SC),0.031,0.044,0.049
Asys_floracion(SC),0.025,0.037,0.043
Asys_floracion(SC),0.016,0.024,0.027
Asys_floracion(SC),0.018,0.028,0.031
Asys_floracion(SC),0.016,0.025,0.028
Asys_floracion(SC),0.016,0.028,0.033
Asys_floracion(SC),0.029,0.045,0.054
Asys_floracion(SC),0.037,0.05,0.057
Asys_floracion(SC),0.027,0.04,0.046
Asys_floracion(SC),0.029,0.046,0.054
Asys_floracion(SC),0.036,0.057,0.07
Asys_floracion(SC),0.024,0.038,0.042
Asys_floracion(SC),0.025,0.038,0.043
Asys_floracion(SC),0.025,0.039,0.045
Asys_floracion(SC),0.021,0.034,0.038
Asys_floracion(SC),0.025,0.038,0.042
Asys_floracion(SC),0.02,0.031,0.035
Asys_floracion(SC),0.02,0.031,0.035
Asys_floracion(SC),0.028,0.048,0.054
Asys_floracion(SC),0.019,0.031,0.032
Asys_floracion(SC),0.031,0.045,0.049
Asys_floracion(SC),0.025,0.038,0.042
Asys_floracion(SC),0.016,0.025,0.027
Asys_floracion(SC),0.018,0.029,0.031
Asys_floracion(SC),0.016,0.026,0.028
Asys_floracion(SC),0.016,0.029,0.033
Asys_floracion(SC),0.029,0.046,0.053
Asys_floracion(SC),0.037,0.052,0.056
Asys_floracion(SC),0.027,0.041,0.045
Asys_floracion(SC),0.029,0.048,0.053
Asys_floracion(SC),0.036,0.059,0.069
Asys_floracion(SC),0.024,0.039,0.042
Asys_floracion(SC),0.025,0.039,0.042
Asys_floracion(SC),0.025,0.04,0.045
Asys_floracion(SC),0.021,0.035,0.038
Asys_floracion(SC),0.025,0.039,0.042
Asys_floracion(SC),0.02,0.032,0.035
Asys_floracion(SC),0.02,0.033,0.035
Asys_floracion(SC),0.028,0.05,0.053
Asys_floracion(SC),0.019,0.032,0.031
Asys_floracion(SC),0.031,0.047,0.048
Asys_floracion(SC),0.025,0.04,0.042
Asys_floracion(SC),0.016,0.026,0.026
Asys_floracion(SC),0.018,0.03,0.03
Asys_floracion(SC),0.016,0.027,0.027
Asys_floracion(SC),0.016,0.031,0.032
Asys_floracion(SC),0.029,0.048,0.053
Asys_floracion(SC),0.037,0.053,0.055
Asys_floracion(SC),0.027,0.043,0.045
Asys_floracion(SC),0.029,0.05,0.052
Asys_floracion(SC),0.036,0.061,0.068
Asys_floracion(SC),0.024,0.041,0.041
Asys_floracion(SC),0.025,0.041,0.042
Asys_floracion(SC),0.025,0.042,0.044
Asys_floracion(SC),0.021,0.037,0.037
Asys_floracion(SC),0.025,0.041,0.041
Asys_floracion(SC),0.02,0.033,0.034
Asys_floracion(SC),0.02,0.034,0.035
Asys_floracion(SC),0.028,0.052,0.052
Asys_floracion(SC),0.019,0.033,0.031
Asys_floracion(SC),0.031,0.049,0.048
Asys_floracion(SC),0.025,0.041,0.041
Asys_floracion(SC),0.016,0.027,0.026
Asys_floracion(SC),0.018,0.032,0.03
Asys_floracion(SC),0.016,0.028,0.027
Asys_floracion(SC),0.016,0.032,0.032
Asys_floracion(SC),0.029,0.05,0.052
Asys_floracion(SC),0.037,0.055,0.055
Asys_floracion(SC),0.027,0.044,0.044
Asys_floracion(SC),0.029,0.052,0.052
Asys_floracion(SC),0.036,0.064,0.067
Asys_floracion(SC),0.024,0.043,0.041
Asys_floracion(SC),0.025,0.043,0.041
Asys_floracion(SC),0.025,0.044,0.043
Asys_floracion(SC),0.021,0.038,0.037
Asys_floracion(SC),0.025,0.042,0.041
Asys_floracion(SC),0.02,0.035,0.034
Asys_floracion(SC),0.02,0.036,0.034
Asys_floracion(SC),0.028,0.055,0.051
Asys_floracion(SC),0.019,0.035,0.03
Asys_floracion(SC),0.031,0.051,0.047
Asys_floracion(SC),0.025,0.043,0.041
Asys_floracion(SC),0.016,0.029,0.026
Asys_floracion(SC),0.018,0.033,0.029
Asys_floracion(SC),0.016,0.029,0.026
Asys_floracion(SC),0.016,0.034,0.031
Asys_floracion(SC),0.029,0.053,0.051
Asys_floracion(SC),0.037,0.057,0.054
Asys_floracion(SC),0.027,0.046,0.044
Asys_floracion(SC),0.029,0.054,0.051
Asys_floracion(SC),0.036,0.067,0.066
Asys_floracion(SC),0.024,0.045,0.04
Asys_floracion(SC),0.025,0.045,0.04
Asys_floracion(SC),0.025,0.046,0.043
Asys_floracion(SC),0.022,0.04,0.036
Asys_floracion(SC),0.025,0.044,0.04
Asys_floracion(SC),0.02,0.036,0.033
Asys_floracion(SC),0.02,0.037,0.034
Asys_floracion(SC),0.028,0.058,0.05
Asys_floracion(SC),0.019,0.037,0.03
Asys_floracion(SC),0.031,0.053,0.046
Asys_floracion(SC),0.025,0.045,0.04
Asys_floracion(SC),0.016,0.03,0.025
Asys_floracion(SC),0.018,0.034,0.029
Asys_floracion(SC),0.016,0.03,0.026
Asys_floracion(SC),0.016,0.036,0.03
Asys_floracion(SC),0.029,0.055,0.05
Asys_floracion(SC),0.037,0.059,0.053
Asys_floracion(SC),0.027,0.048,0.043
Asys_floracion(SC),0.029,0.057,0.05
Asys_floracion(SC),0.036,0.07,0.064
Asys_floracion(SC),0.024,0.047,0.039
Asys_floracion(SC),0.025,0.047,0.04
Asys_floracion(SC),0.025,0.048,0.042
Asys_floracion(SC),0.022,0.042,0.036
Asys_floracion(SC),0.025,0.046,0.039
Asys_floracion(SC),0.02,0.038,0.032
Asys_floracion(SC),0.02,0.039,0.033
Asys_floracion(SC),0.028,0.06,0.049
Asys_floracion(SC),0.019,0.038,0.029
Asys_floracion(SC),0.031,0.055,0.046
Asys_floracion(SC),0.025,0.047,0.039
Asys_floracion(SC),0.016,0.031,0.025
Asys_floracion(SC),0.018,0.036,0.028
Asys_floracion(SC),0.016,0.032,0.025
Asys_floracion(SC),0.016,0.038,0.029
Asys_floracion(SC),0.029,0.058,0.049
Asys_floracion(SC),0.037,0.061,0.052
Asys_floracion(SC),0.027,0.05,0.042
Asys_floracion(SC),0.029,0.059,0.049
Asys_floracion(SC),0.036,0.073,0.063
Asys_floracion(SC),0.024,0.049,0.039
Asys_floracion(SC),0.025,0.049,0.039
Asys_floracion(SC),0.025,0.05,0.041
Asys_floracion(SC),0.022,0.044,0.035
Asys_floracion(SC),0.025,0.048,0.039
Asys_floracion(SC),0.02,0.04,0.032
Asys_floracion(SC),0.02,0.041,0.032
Asys_floracion(SC),0.028,0.063,0.048
Asys_floracion(SC),0.019,0.04,0.029
Asys_floracion(SC),0.031,0.057,0.045
Asys_floracion(SC),0.025,0.049,0.039
Asys_floracion(SC),0.016,0.033,0.024
Asys_floracion(SC),0.018,0.037,0.028
Asys_floracion(SC),0.016,0.033,0.025
Asys_floracion(SC),0.016,0.04,0.029
Asys_floracion(SC),0.029,0.061,0.048
Asys_floracion(SC),0.037,0.064,0.052
Asys_floracion(SC),0.027,0.053,0.041
Asys_floracion(SC),0.029,0.062,0.048
Asys_floracion(SC),0.036,0.077,0.061
Asys_floracion(SC),0.024,0.052,0.038
Asys_floracion(SC),0.025,0.051,0.038
Asys_floracion(SC),0.025,0.052,0.04
Asys_floracion(SC),0.022,0.046,0.034
Asys_floracion(SC),0.025,0.051,0.038
Asys_floracion(SC),0.02,0.042,0.031
Asys_floracion(SC),0.02,0.043,0.032
Asys_floracion(SC),0.028,0.067,0.047
Asys_floracion(SC),0.019,0.043,0.028
Asys_floracion(SC),0.031,0.06,0.044
Asys_floracion(SC),0.025,0.051,0.038
Asys_floracion(SC),0.016,0.034,0.024
Asys_floracion(SC),0.018,0.039,0.027
Asys_floracion(SC),0.016,0.035,0.024
Asys_floracion(SC),0.016,0.042,0.028
Asys_floracion(SC),0.029,0.064,0.047
Asys_floracion(SC),0.037,0.066,0.051
Asys_floracion(SC),0.027,0.055,0.04
Asys_floracion(SC),0.029,0.065,0.047
Asys_floracion(SC),0.036,0.081,0.06
Asys_floracion(SC),0.024,0.054,0.037
Asys_floracion(SC),0.025,0.054,0.037
Asys_floracion(SC),0.025,0.055,0.039
Asys_floracion(SC),0.022,0.048,0.033
